long,lat,id,linea,estacion,numero_de_,destino_bo,lineas_de_,cierra_fin,escalera_p,escalera_m,ascensor,rampa,salvaescal,calle,altura,calle2,barrio,comuna,observacio,Objeto,dom_norma,dom_orig
-58.43375222,-34.62780383,304,E,JOSE MARIA MORENO,3,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,José María Moreno,790,,Caballito,Comuna 6,Vestíbulo intermedio,Boca de subte,MORENO. JOSE MARIA AV. 790,José María Moreno 790
-58.43352429,-34.6280735,305,E,JOSE MARIA MORENO,4,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Directorio,486,,Parque Chacabuco,Comuna 7,Vestíbulo intermedio,Boca de subte,DIRECTORIO AV. 486,Directorio 486
-58.44202631,-34.63082283,306,E,EMILIO MITRE,2,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Eva Perón,1193,,Parque Chacabuco,Comuna 7,Vestíbulo intermedio,Boca de subte,PERON. EVA AV. 1193,Eva Perón 1193
-58.44207286,-34.63145427,307,E,EMILIO MITRE,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Emilio Mitre,855,,Parque Chacabuco,Comuna 7,Vestíbulo intermedio,Boca de subte,MITRE. EMILIO 855,Emilio Mitre 855
-58.45012395,-34.63643806,308,E,MEDALLA MILAGROSA,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Eva Perón,1953,,Parque Chacabuco,Comuna 7,Vestíbulo intermedio,Boca de subte,PERON. EVA AV. 1953,Eva Perón 1953
-58.4578925,-34.63984597,309,E,VARELA,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Varela,940,,Flores,Comuna 7,Vestíbulo intermedio,Boca de subte,VARELA AV. 940,Varela 940
-58.46148282,-34.64304264,310,E,PLAZA DE LOS VIRREYES - EVA PERÓN,1,a Retiro,P,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Lafuente,1150,,Flores,Comuna 7,Andén a Bolívar,Boca de subte,LAFUENTE AV. 1150,Lafuente 1150
-58.40618772,-34.60905097,311,H,ONCE - 30 DE DICIEMBRE,2,a Las Heras y Hospitales,A,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,Pueyrredón,100,,Balvanera,Comuna 3,Vestíbulo intermedio,Boca de subte,PUEYRREDON AV. 100,Pueyrredón 100
-58.40589542,-34.60894658,312,H,ONCE - 30 DE DICIEMBRE,1,a Las Heras y Hospitales,A,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Pueyrredón,91,,Balvanera,Comuna 3,Vestíbulo intermedio,Boca de subte,PUEYRREDON AV. 91,Pueyrredón 91
-58.40586719,-34.60928311,313,H,ONCE - 30 DE DICIEMBRE,5,a Las Heras y Hospitales,A,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Pueyrredón,59,,Balvanera,Comuna 3,Vestíbulo intermedio,Boca de subte,PUEYRREDON AV. 59,Pueyrredón 59
